14,Zamka za snove,Dreamcatcher,2001,Stiven King (Stephen King),2001,Alnari Beograd,20.09.2002.
18,Životinjska farma,Animal Farm,1945,Džordž Orvel (George Orwell),2003,Biblioteka Vijesti,01.10.2003.
19,Misli nad mislima,Misli nad mislima,1111,nepoznat,2003,SIA Zlaja Beograd,01.10.2003.
22,Znakovi pored puta,Znakovi pored puta,1976,Ivo Andrić,2004,Dereta Beograd,17.09.2004.
24,Zahir,O Zahir,2005,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,23.09.2006.
25,Galeb Džonatan Livingston,Jonathan Livingston Seagull,1970,Ričard Bah (Richard Bach),2005,Mono i Manjana Beograd,08.10.2006.
26,Priručnik za ratnika svetlosti,Manual do Guerreiro da Luz,1997,Paulo Koeljo (Paulo Coelho),2001,Paideia Beograd,08.11.2006.
27,Dnevnik jednog čarobnjaka,O Diario de Um Mago,1987,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,08.11.2006.
28,Na obali reke Pjedre sedela sam i plakala,Na Margem do Rio Pieda eu sentei e chorei,1994,Paulo Koeljo (Paulo Coelho),2007,Paideia Beograd,08.01.2007.
29,Veronika je odlučila da umre,Veronika decide morrer,1988,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,02.11.2007.
30,Veštica iz Portoblea,A bruxa de Portobello,2006,Paulo Koeljo (Paulo Coelho),2006,Paideia Beograd,02.11.2007.
31,Peto dete,The Fifth Child,1988,Doris Lesing (Doris Lessing),2004,Agora Zrenjanin,02.11.2007.
32,Smisao života,The Meaning of Life,2002,Bredli Trevor Griv(Bradley Trevor Grieve),2006,Laguna Beograd,02.11.2007.
33,Digitalna tvrđava,Digital Fortress,1998,Den Braun (Dan Brown),2005,Solaris Novi Sad,02.11.2007.
34, Mračna kula I - Revorvelaš,The Dark Tower I - The Gunslinger,1982,Stiven King (Stephen King),2004,Editor Beograd,02.11.2007.
35,Mračna kula II - Tri tarot karte,The Dark Tower II - The Drawing of Three ,1987,Stiven King (Stephen King),2004,Editor Beograd,02.11.2007.
36,Mračna kula III - Pustare,The Dark Tower III - The Waste Lands,1991,Stiven King (Stephen King),2004,Editor Beograd,02.11.2007.
37,Mračna kula IV - Čarobrnjak i staklo (prvi deo),The Dark Tower IV - Wizard and Glass,1997,Stiven King (Stephen King),2005,Editor Beograd,02.11.2007.
38,Mračna kula IV - Čarobrnjak i staklo (rokovi.sep22022.drugi deo) ,The Dark Tower IV - Wizard and Glass,1997,Stiven King (Stephen King),2005,Editor Beograd,02.11.2007.
39,Mračna kula V - Vukovi Kale (prvi deo),The Dark Tower V - Wolves of the Calla,2003,Stiven King (Stephen King),2006,Editor Beograd,02.11.2007.
40,Mračna kula V - Vukovi Kale (rokovi.sep22022.drugi deo),The Dark Tower V - Wolves of the Calla,2003,Stiven King (Stephen King),2006,Editor Beograd,02.11.2007.
41,P.S. Volim te,P.S. I Love You,2004,Sesilija Ahren (Cecilia Ahern),2004,Narodna knjiga Alfa,22.11.2007.
42,Sto godina samoće,Cien años de soledad,1967,Gabrijel Garsija Markes (Gabriel Garcia Marquez),2002,Zavod za udžbenike i nastavna sredstva Beograd,22.11.2007.
43,Ben u svetu,Ben in the World,2000,Doris Lesing (Doris Lessing),2007,Agora Zrenjanin,25.12.2007.
44,Memoari preživele,The Memoirs of a Survivor,1974,Doris Lesing (Doris Lessing),2008,Agora Zrenjanin,14.02.2008.
45,Mračna kula VI - Suzanina pesma,The Dark Tower VI - Song of Susannah,2004,Stiven King (Stephen King),2007,Editor Beograd,08.03.2008.
46,Mračna kula VII - Mračna kula,The Dark Tower VII - The Dark Tower,2004,Stiven King (Stephen King),2008,Alnari Beograd,08.03.2008.
47,Crne rupe i bebe vaseljene,Black Wholes and Baby Universes,1993,Stiven Hoking (Stephen Hawking),2008,Alnari Beograd,10.05.2008.
